iter	Passed	Remaining
578	6219	1299
579	6230	1289
580	6242	1278
581	6252	1267
582	6263	1257
583	6273	1246
584	6284	1235
585	6294	1224
586	6305	1213
587	6315	1202
588	6326	1192
589	6337	1181
590	6348	1170
591	6359	1160
592	6369	1149
593	6380	1138
594	6390	1127
595	6401	1116
596	6411	1106
597	6422	1095
598	6432	1084
599	6443	1073
600	6453	1063
601	6463	1052
602	6474	1041
603	6484	1030
604	6495	1020
605	6505	1009
606	6517	998
607	6528	987
608	6539	977
609	6550	966
610	6560	955
611	6570	944
612	6581	934
613	6592	923
614	6602	912
615	6612	901
616	6623	891
617	6633	880
618	6643	869
619	6654	858
620	6665	847
621	6675	837
622	6686	826
623	6696	815
624	6706	804
625	6717	794
626	6729	783
627	6740	772
628	6751	762
629	6762	751
630	6772	740
631	6783	729
632	6796	719
633	6807	708
634	6818	697
635	6829	687
636	6839	676
637	6850	665
638	6861	655
639	6871	644
640	6882	633
641	6892	622
642	6904	612
643	6916	601
644	6926	590
645	6936	579
646	6947	569
647	6958	558
648	6969	547
649	6980	536
650	6991	526
651	7005	515
652	7015	504
653	7025	494
654	7038	483
655	7047	472
656	7057	461
657	7067	451
658	7079	440
659	7089	429
660	7100	418
661	7111	408
662	7121	397
663	7131	386
664	7142	375
665	7153	365
666	7164	354
667	7175	343
668	7185	332
669	7195	322
670	7206	311
671	7217	300
672	7227	289
673	7238	279
674	7249	268
675	7259	257
676	7271	247
677	7282	236
678	7293	225
679	7304	214
680	7314	204
681	7325	193
682	7336	182
683	7346	171
684	7357	161
685	7366	150
686	7375	139
687	7386	128
688	7396	118
689	7406	107
690	7416	96
691	7426	85
692	7438	75
693	7448	64
694	7459	53
695	7469	42
696	7480	32
697	7491	21
698	7501	10
699	7513	0
